time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522213634.0,16076.8,62356,1,226670,716502,455,43793,113613250,20517,0,328,80278
1522213635.0,16032.1,8708,3,71713,716761,455,43823,113614618,20517,0,328,80282
1522213636.0,16030.8,1800,3,8376,716967,455,43837,113616049,20517,0,328,80283
1522213637.1,16029.8,3156,6,3604,717177,455,43870,113617375,20602,0,328,80284
1522213638.1,16039.6,2398,8,1440,717382,455,43893,113618723,20671,0,328,80287
1522213639.1,16025.8,1676,0,156,717589,455,43907,113620153,20671,0,328,80288
1522213640.2,16039.6,1629,3,586,717799,455,43924,113621584,20671,0,328,80289
1522213641.2,16023.3,1199,2,4441,718010,455,43962,113622980,20671,0,328,80289
1522213642.2,16023.6,1642,1,912,718217,455,43982,113624397,20671,0,328,80291
1522213643.3,16029.3,2328,223,41511,718382,455,44006,113625851,20671,0,328,80291
1522213644.3,16029.7,2196,434,80920,718533,455,44029,113627318,20671,0,328,80291
1522213645.3,16020.2,72,1,104,718738,455,44031,113628752,20671,0,328,80292
1522213646.3,16018.2,73,0,22,718944,455,44033,113630184,20671,0,328,80292
1522213647.4,16025.6,75,1,173,719152,455,44036,113631628,20671,0,328,80292
1522213648.4,16031.6,108,2,203,719358,455,44038,113633065,20671,0,328,80293
1522213649.4,16029.1,84,1,221,719563,455,44040,113634498,20671,0,328,80294
1522213650.5,16031.2,74,1,203,719769,455,44042,113635930,20671,0,328,80294
1522213651.5,16013.1,74,0,24,719975,455,44044,113637365,20671,0,328,80294
1522213652.5,16030.8,104,1,203,720181,455,44046,113638803,20671,0,328,80294
1522213653.5,16021.7,89,1,28,720388,455,44048,113640243,20671,0,328,80295
1522213654.6,16037.4,78,3,220,720594,455,44051,113641683,20671,0,328,80296
1522213655.6,16031.9,109,1,202,720801,455,44053,113643122,20671,0,328,80297
1522213656.6,16018.0,110,1,24,721007,455,44055,113644558,20671,0,328,80298
1522213657.7,16036.0,76,2,10,721214,455,44057,113645994,20671,0,328,80298
1522213658.7,16032.8,78,3,211,721421,455,44059,113647432,20671,0,328,80299
1522213659.7,16033.7,80,2,210,721628,455,44061,113648872,20671,0,328,80299
1522213660.8,16015.1,111,2,10,721835,455,44063,113650312,20671,0,328,80300
1522213661.8,16021.2,75,0,26,722042,455,44065,113651754,20671,0,328,80301
1522213662.8,16015.5,70,0,10,722249,455,44068,113653194,20671,0,328,80302
1522213663.8,16035.6,1494,3,229,722455,455,44077,113654531,20765,0,328,80303
1522213664.9,16027.3,633,4,174,722662,455,44082,113655866,20865,0,328,80304
1522213665.9,16029.1,518,4,203,722869,455,44087,113657267,20905,0,328,80304
1522213666.9,16018.6,75,0,26,723075,455,44089,113658701,20905,0,328,80305
1522213668.0,16030.3,80,3,202,723282,455,44091,113660141,20905,0,328,80305
1522213669.0,16036.4,105,0,26,723493,455,44095,113661608,20905,0,328,80308
1522213670.1,16046.1,77,0,10,723701,455,44098,113663059,20905,0,328,80309
1522213671.1,16029.3,78,2,203,723907,455,44100,113664492,20905,0,328,80311
1522213672.1,16027.5,75,2,214,724114,455,44102,113665932,20905,0,328,80312
1522213673.2,16032.9,122,1,220,724322,455,44105,113667380,20905,0,328,80314
1522213674.2,16013.6,91,2,24,724531,455,44108,113668832,20905,0,328,80315
1522213675.2,16033.0,79,1,203,724737,455,44110,113670269,20905,0,328,80316
1522213676.3,16034.0,113,3,213,724943,455,44111,113671703,20905,0,328,80316
1522213677.3,16029.9,76,3,211,725149,455,44113,113673138,20905,0,329,80317
1522213678.3,16027.7,78,3,174,725357,455,44115,113674581,20905,0,329,80317
1522213679.3,16017.9,71,1,24,725564,455,44117,113676019,20905,0,329,80317
1522213680.4,16033.1,110,1,203,725771,455,44120,113677463,20905,0,329,80318
1522213681.4,16034.6,74,1,211,725978,455,44122,113678902,20905,0,329,80319
1522213682.4,16019.4,71,2,19,726185,455,44125,113680346,20905,0,329,80320
1522213683.5,16018.0,86,0,28,726396,455,44128,113681811,20905,0,329,80323
1522213684.5,16043.8,106,1,212,726604,455,44130,113683253,20905,0,329,80325
1522213685.6,16016.1,90,2,10,726813,455,44134,113684711,20905,0,329,80326
1522213686.6,16021.5,74,0,26,727023,455,44137,113686168,20905,0,329,80328
1522213687.7,16018.3,68,1,10,727232,455,44141,113687623,20905,0,329,80331
1522213688.7,16024.5,111,2,18,727441,455,44145,113689077,20905,0,329,80335
1522213689.7,16014.2,74,1,18,727648,455,44147,113690521,20905,0,329,80337
