time,cpu-clock,context-switches,cpu-migrations,page-faults,user,nice,system,idle,iowait,irq,softirq,steal
1522222900.3,16032.1,966045,1382,37665,3534795,455,148766,125188314,39079,0,670,228828
1522222901.4,16025.8,3260409,1206,41930,3535600,455,149081,125188764,39079,0,670,228835
1522222902.4,16028.2,565890,1034,24102,3536009,455,149171,125189861,39079,0,670,228838
1522222903.4,16020.9,64199,1552,24742,3536343,455,149218,125191077,39079,0,670,228839
1522222904.5,16029.1,70169,1686,26615,3536708,455,149272,125192259,39079,0,670,228839
1522222905.5,16019.0,69494,1644,26206,3537062,455,149323,125193445,39079,0,670,228840
1522222906.5,16015.9,60119,1426,23603,3537424,455,149367,125194633,39079,0,670,228840
1522222907.5,16027.3,59452,1333,23677,3537794,455,149414,125195809,39079,0,670,228840
1522222908.6,16033.4,4859,19,2429,3537840,455,149502,125197317,39079,0,670,228841
1522222909.6,16032.1,213,20,1486,3537860,455,149575,125198863,39079,0,670,228841
1522222910.7,16039.8,6155,1358,253110,3538668,455,149685,125199630,39079,0,670,228842
1522222911.8,16322.8,456,135,4018,3540361,455,149777,125199630,39079,0,670,228844
1522222913.0,16194.2,2360,89,1430,3542144,455,149782,125199630,39079,0,670,228847
1522222914.1,16060.9,2122,17,1236,3543995,455,149783,125199630,39079,0,670,228848
1522222915.3,16382.2,2434,18,1373,3545868,455,149785,125199630,39079,0,670,228849
1522222916.5,16144.5,2753,14,1454,3547749,455,149786,125199630,39079,0,670,228852
1522222917.8,16305.9,2755,12,1617,3549714,455,149788,125199630,39079,0,670,228855
1522222918.9,16108.8,2704,60,1886,3551461,455,149789,125199631,39079,0,670,228858
1522222920.1,16141.8,2520,37,953,3553297,455,149798,125199631,39079,0,670,228860
1522222921.2,16167.8,2226,59,1035,3555097,455,149800,125199635,39079,0,670,228862
1522222922.4,16197.2,2177,27,974,3556947,455,149801,125199638,39079,0,670,228865
1522222923.5,16073.9,2216,72,1129,3558633,455,149803,125199639,39079,0,670,228867
1522222924.7,16319.2,2145,27,997,3560477,455,149804,125199639,39079,0,670,228868
1522222925.8,16398.4,2878,54,1185,3562305,455,149809,125199640,39079,0,670,228871
1522222927.0,16510.6,2544,26,1156,3564105,455,149814,125199640,39079,0,670,228873
1522222928.1,16334.6,2329,24,1121,3565981,455,149816,125199644,39079,0,670,228875
1522222929.3,16257.4,2482,13,1318,3567833,455,149817,125199644,39079,0,670,228876
